cp,estado,january,february,march,april,may
00000,United States,6681359000000000.0,6681359000000000.0,6681359000000000.0,6716825333333333.0,6716825333333333.0
01000,Alabama,73354033333333.33,73354033333333.33,73354033333333.33,73390500000000.0,73390500000000.0
02000,Alaska,17630333333333.332,17630333333333.332,17630333333333.332,17480166666666.666,17480166666666.666
04000,Arizona,114572800000000.0,114572800000000.0,114572800000000.0,114902700000000.0,114902700000000.0
05000,Arkansas,42052233333333.336,42052233333333.336,42052233333333.336,42023733333333.336,42023733333333.336
06000,California,936472600000000.0,936472600000000.0,936472600000000.0,946064600000000.0,946064600000000.0
08000,Colorado,121701566666666.67,121701566666666.67,121701566666666.67,121303800000000.0,121303800000000.0
09000,Connecticut,91862500000000.0,91862500000000.0,91862500000000.0,90939233333333.33,90939233333333.33
10000,Delaware,23205133333333.0,23205133333333.0,23205133333333.0,23359733333333.332,23359733333333.332
11000,District of Columbia,45471200000000.0,45471200000000.0,45471200000000.0,45910533333333.336,45910533333333.336
12000,Florida,347807433333333.3,347807433333333.3,347807433333333.3,347922466666666.7,347922466666666.7
13000,Georgia,197620966666666.66,197620966666666.66,197620966666666.66,199281766666666.66,199281766666666.66
15000,Hawaii,29439833333333.332,29439833333333.332,29439833333333.332,29744100000000.0,29744100000000.0
16000,Idaho,25600833333333.332,25600833333333.332,25600833333333.332,25786800000000.0,25786800000000.0
17000,Illinois,282213533333333.3,282213533333333.3,282213533333333.3,282689766666666.7,282689766666666.7
18000,Indiana,122538900000000.0,122538900000000.0,122538900000000.0,122548666666666.67,122548666666666.67
19000,Iowa,63567866666666.664,63567866666666.664,63567866666666.664,63512966666666.664,63512966666666.664
20000,Kansas,55960533333333.336,55960533333333.336,55960533333333.336,56360433333333.336,56360433333333.336
21000,Kentucky,68190733333333.336,68190733333333.336,68190733333333.336,68700800000000.0,68700800000000.0
22000,Louisiana,81506233333333.33,81506233333333.33,81506233333333.33,81693466666666.67,81693466666666.67
23000,Maine,21463166666666.668,21463166666666.668,21463166666666.668,21582600000000.0,21582600000000.0
24000,Maryland,133795900000000.0,133795900000000.0,133795900000000.0,134301300000000.0,134301300000000.0
