Estado,Poblacion_2017,Poblacion_2018,Crecimiento (%)
.Arizona,7044008.0,7158024.0,1.62
.Arkansas,3001345.0,3009733.0,0.28
.California,39358497.0,39461588.0,0.26
.Colorado,5611885.0,5691287.0,1.41
.Connecticut,3573297.0,3571520.0,-0.05
.Delaware,956823.0,965479.0,0.9
.District of Columbia,694906.0,701547.0,0.96
.Florida,20963613.0,21244317.0,1.34
.Georgia,10410330.0,10511131.0,0.97
.Hawaii,1424393.0,1420593.0,-0.27
.Idaho,1717715.0,1750536.0,1.91
.Illinois,12778828.0,12723071.0,-0.44
.Indiana,6658078.0,6695497.0,0.56
.Iowa,3141550.0,3148618.0,0.22
.Kansas,2908718.0,2911359.0,0.09
.Kentucky,4452268.0,4461153.0,0.2
.Louisiana,4670560.0,4659690.0,-0.23
.Maine,1334612.0,1339057.0,0.33
.Maryland,6023868.0,6035802.0,0.2
.Massachusetts,6859789.0,6882635.0,0.33
.Michigan,9973114.0,9984072.0,0.11
.Minnesota,5566230.0,5606249.0,0.72
.Mississippi,2988510.0,2981020.0,-0.25
.Missouri,6106670.0,6121623.0,0.24
.Montana,1052482.0,1060665.0,0.78
.Nebraska,1915947.0,1925614.0,0.5
.Nevada,2969905.0,3027341.0,1.93
.New Hampshire,1348787.0,1353465.0,0.35
.New Jersey,8885525.0,8886025.0,0.01
.New Mexico,2091784.0,2092741.0,0.05
.New York,19589572.0,19530351.0,-0.3
.North Carolina,10268233.0,10381615.0,1.1
.North Dakota,754942.0,758080.0,0.42
.Ohio,11659650.0,11676341.0,0.14
.Oklahoma,3931316.0,3940235.0,0.23
.Oregon,4143625.0,4181886.0,0.92
.Pennsylvania,12787641.0,12800922.0,0.1
.Rhode Island,1055673.0,1058287.0,0.25
.South Carolina,5021268.0,5084156.0,1.25
.South Dakota,872868.0,878698.0,0.67
.Tennessee,6708799.0,6771631.0,0.94
.Texas,28295273.0,28628666.0,1.18
.Utah,3101042.0,3153550.0,1.69
.Vermont,624344.0,624358.0,0.0
.Virginia,8463587.0,8501286.0,0.45
.Washington,7423362.0,7523869.0,1.35
.West Virginia,1817004.0,1804291.0,-0.7
.Wisconsin,5790186.0,5807406.0,0.3
.Wyoming,578931.0,577601.0,-0.23
,,,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. See Geographic Terms and Definitions at http://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region.  All geographic boundaries for the 2019 population estimates series except statistical area delineations are as of January 1, 2019.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,
Suggested Citation:,,,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: December 2019,,,
