cp,estado,january,february,march,april,may
00000,UnitedStates,17481000000.0,17481000000.0,17481000000.0,17662000000.0,17662000000.0
01000,Alabama,13608333333.333334,13608333333.333334,13608333333.333334,13698000000.0,13698000000.0
02000,Alaska,19358666666.666668,19358666666.666668,19358666666.666668,19496666666.666668,19496666666.666668
04000,Arizona,14876000000.0,14876000000.0,14876000000.0,14987000000.0,14987000000.0
05000,Arkansas,14144666666.666666,14144666666.666666,14144666666.666666,14254000000.0,14254000000.0
06000,California,19911666666.666668,19911666666.666668,19911666666.666668,20204000000.0,20204000000.0
08000,Colorado,18817333333.333332,18817333333.333332,18817333333.333332,19087333333.333332,19087333333.333332
09000,Connecticut,23693666666.666668,23693666666.666668,23693666666.666668,23893000000.0,23893000000.0
10000,Delaware,17241666666.666668,17241666666.666668,17241666666.666668,17437666666.666668,17437666666.666668
11000,DistrictofColumbia,26982000000.0,26982000000.0,26982000000.0,27238333333.333332,27238333333.333332
12000,Florida,16695333333.333334,16695333333.333334,16695333333.333334,16853333333.333334,16853333333.333334
13000,Georgia,15284333333.333334,15284333333.333334,15284333333.333334,15441666666.666666,15441666666.666666
15000,Hawaii,17020333333.333334,17020333333.333334,17020333333.333334,17146333333.333334,17146333333.333334
16000,Idaho,14217333333.333334,14217333333.333334,14217333333.333334,14335000000.0,14335000000.0
17000,Illinois,18377333333.333332,18377333333.333332,18377333333.333332,18626666666.666668,18626666666.666668
18000,Indiana,15349666666.666666,15349666666.666666,15349666666.666666,15429333333.333334,15429333333.333334
19000,Iowa,15991000000.0,15991000000.0,15991000000.0,16150666666.666666,16150666666.666666
20000,Kansas,16466333333.333334,16466333333.333334,16466333333.333334,16668333333.333334,16668333333.333334
21000,Kentucky,13729666666.666666,13729666666.666666,13729666666.666666,13863333333.333334,13863333333.333334
22000,Louisiana,14905333333.333334,14905333333.333334,14905333333.333334,15114333333.333334,15114333333.333334
23000,Maine,15705000000.0,15705000000.0,15705000000.0,15850333333.333334,15850333333.333334
24000,Maryland,19729666666.666668,19729666666.666668,19729666666.666668,19896666666.666668,19896666666.666668
25000,Massachusetts,22748333333.333332,22748333333.333332,22748333333.333332,22933000000.0,22933000000.0
26000,Michigan,15557000000.0,15557000000.0,15557000000.0,15639000000.0,15639000000.0
27000,Minnesota,18383666666.666668,18383666666.666668,18383666666.666668,18627000000.0,18627000000.0
28000,Mississippi,12357000000.0,12357000000.0,12357000000.0,12493000000.0,12493000000.0
29000,Missouri,15265333333.333334,15265333333.333334,15265333333.333334,15546333333.333334,15546333333.333334
30000,Montana,15501333333.333334,15501333333.333334,15501333333.333334,15664333333.333334,15664333333.333334
31000,Nebraska,16825333333.333334,16825333333.333334,16825333333.333334,16954666666.666666,16954666666.666666
32000,Nevada,16238666666.666666,16238666666.666666,16238666666.666666,16293000000.0,16293000000.0
33000,NewHampshire,19932666666.666668,19932666666.666668,19932666666.666668,20004666666.666668,20004666666.666668
34000,NewJersey,21085000000.0,21085000000.0,21085000000.0,21262666666.666668,21262666666.666668
35000,NewMexico,13438000000.0,13438000000.0,13438000000.0,13576666666.666666,13576666666.666666
36000,NewYork,21110000000.0,21110000000.0,21110000000.0,21328666666.666668,21328666666.666668
37000,NorthCarolina,15075333333.333334,15075333333.333334,15075333333.333334,15257000000.0,15257000000.0
38000,NorthDakota,17884333333.333332,17884333333.333332,17884333333.333332,18211666666.666668,18211666666.666668
39000,Ohio,15704000000.0,15704000000.0,15704000000.0,15843000000.0,15843000000.0
40000,Oklahoma,15111000000.0,15111000000.0,15111000000.0,15238333333.333334,15238333333.333334
41000,Oregon,16447666666.666666,16447666666.666666,16447666666.666666,16631000000.0,16631000000.0
42000,Pennsylvania,17850000000.0,17850000000.0,17850000000.0,18027666666.666668,18027666666.666668
44000,RhodeIsland,17247000000.0,17247000000.0,17247000000.0,17290000000.0,17290000000.0
45000,SouthCarolina,14378666666.666666,14378666666.666666,14378666666.666666,14508333333.333334,14508333333.333334
46000,SouthDakota,16924333333.333334,16924333333.333334,16924333333.333334,16955000000.0,16955000000.0
47000,Tennessee,15244000000.0,15244000000.0,15244000000.0,15357333333.333334,15357333333.333334
48000,Texas,16788333333.333334,16788333333.333334,16788333333.333334,16989666666.666666,16989666666.666666
49000,Utah,14910666666.666666,14910666666.666666,14910666666.666666,15067333333.333334,15067333333.333334
50000,Vermont,16980333333.333334,16980333333.333334,16980333333.333334,17159666666.666666,17159666666.666666
51000,Virginia,18460000000.0,18460000000.0,18460000000.0,18596333333.333332,18596333333.333332
53000,Washington,19623666666.666668,19623666666.666668,19623666666.666668,19753666666.666668,19753666666.666668
54000,WestVirginia,13335333333.333334,13335333333.333334,13335333333.333334,13541666666.666666,13541666666.666666
55000,Wisconsin,16661333333.333334,16661333333.333334,16661333333.333334,16713333333.333334,16713333333.333334
56000,Wyoming,19273666666.666668,19273666666.666668,19273666666.666668,19576333333.333332,19576333333.333332
91000,NewEngland,21443999999.666668,21443999999.666668,21443999999.666668,21607333333.333332,21607333333.333332
92000,Mideast,20099333333.333332,20099333333.333332,20099333333.333332,20293666666.666668,20293666666.666668
93000,GreatLakes,16470333333.333334,16470333333.333334,16470333333.333334,16607333333.333334,16607333333.333334
94000,Plains,16659000000.0,16659000000.0,16659000000.0,16879666666.666666,16879666666.666666
95000,Southeast,15488000000.0,15488000000.0,15488000000.0,15638000000.0,15638000000.0
96000,Southwest,16138333333.333334,16138333333.333334,16138333333.333334,16314666666.666666,16314666666.666666
97000,RockyMountain,16876000000.0,16876000000.0,16876000000.0,17085666666.666666,17085666666.666666
98000,FarWest,19340000000.0,19340000000.0,19340000000.0,19582666666.666668,19582666666.666668
