Place,Year,Month,Unemployment Rate
Alabama,2018,May,3.5
Alabama,2018,April,3.5
Alabama,2018,March,4.0
Alabama,2018,February,4.4
Alabama,2018,January,4.4
Alaska,2018,May,5.7
Alaska,2018,April,6.3
Alaska,2018,March,6.8
Alaska,2018,February,7.2
Alaska,2018,January,7.3
Arizona,2018,May,4.4
Arizona,2018,April,4.5
Arizona,2018,March,4.6
Arizona,2018,February,4.8
Arizona,2018,January,5.0
Arkansas,2018,May,3.4
Arkansas,2018,April,3.3
Arkansas,2018,March,3.8
Arkansas,2018,February,4.4
Arkansas,2018,January,4.4
California,2018,May,3.7
California,2018,April,4.1
California,2018,March,4.4
California,2018,February,4.6
California,2018,January,4.8
Colorado,2018,May,2.7
Colorado,2018,April,2.8
Colorado,2018,March,3.0
Colorado,2018,February,3.3
Colorado,2018,January,3.1
Connecticut,2018,May,3.8
Connecticut,2018,April,3.8
Connecticut,2018,March,4.3
Connecticut,2018,February,4.7
Connecticut,2018,January,4.8
Delaware,2018,May,3.3
Delaware,2018,April,3.6
Delaware,2018,March,4.1
Delaware,2018,February,4.4
Delaware,2018,January,4.6
District of Columbia,2018,May,5.2
District of Columbia,2018,April,5.1
District of Columbia,2018,March,5.9
District of Columbia,2018,February,6.1
District of Columbia,2018,January,6.1
Florida,2018,May,3.4
Florida,2018,April,3.4
Florida,2018,March,3.7
Florida,2018,February,3.8
Florida,2018,January,4.1
Georgia,2018,May,3.8
Georgia,2018,April,3.7
Georgia,2018,March,4.1
Georgia,2018,February,4.4
Georgia,2018,January,4.5
Hawaii,2018,May,2.1
Hawaii,2018,April,2.1
Hawaii,2018,March,2.1
Hawaii,2018,February,2.0
Hawaii,2018,January,2.1
Idaho,2018,May,2.4
Idaho,2018,April,2.8
Idaho,2018,March,3.4
Idaho,2018,February,3.5
Idaho,2018,January,3.9
Illinois,2018,May,3.8
Illinois,2018,April,3.9
Illinois,2018,March,4.5
Illinois,2018,February,5.0
Illinois,2018,January,5.2
Indiana,2018,May,3.1
Indiana,2018,April,3.0
Indiana,2018,March,3.6
Indiana,2018,February,3.8
Indiana,2018,January,3.8
Iowa,2018,May,2.2
Iowa,2018,April,2.4
Iowa,2018,March,3.0
Iowa,2018,February,3.3
Iowa,2018,January,3.7
Kansas,2018,May,3.2
Kansas,2018,April,3.1
Kansas,2018,March,3.6
Kansas,2018,February,3.7
Kansas,2018,January,3.7
Kentucky,2018,May,4.0
Kentucky,2018,April,3.9
Kentucky,2018,March,4.7
Kentucky,2018,February,4.8
Kentucky,2018,January,4.7
Louisiana,2018,May,4.7
Louisiana,2018,April,4.5
Louisiana,2018,March,4.6
Louisiana,2018,February,4.5
Louisiana,2018,January,4.8
Maine,2018,May,3.1
Maine,2018,April,3.3
Maine,2018,March,3.6
Maine,2018,February,3.7
Maine,2018,January,3.7
Maryland,2018,May,3.6
Maryland,2018,April,3.5
Maryland,2018,March,4.1
Maryland,2018,February,4.4
Maryland,2018,January,4.4
Massachusetts,2018,May,3.3
Massachusetts,2018,April,3.3
Massachusetts,2018,March,3.9
Massachusetts,2018,February,4.2
Massachusetts,2018,January,4.3
Michigan,2018,May,3.7
Michigan,2018,April,3.9
Michigan,2018,March,4.6
Michigan,2018,February,5.0
Michigan,2018,January,5.1
Minnesota,2018,May,2.5
