"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
County
GeoFips,GeoName,2013
01001,"Autauga, AL",1966036
01003,"Baldwin, AL",7534558
01005,"Barbour, AL",799040
01007,"Bibb, AL",611305
01009,"Blount, AL",1742644
01011,"Bullock, AL",261896
01013,"Butler, AL",638145
01015,"Calhoun, AL",3712764
01017,"Chambers, AL",1007148
01019,"Cherokee, AL",804442
01021,"Chilton, AL",1294972
01023,"Choctaw, AL",450924
01025,"Clarke, AL",779789
01027,"Clay, AL",375488
01029,"Cleburne, AL",469354
01031,"Coffee, AL",1873034
01033,"Colbert, AL",1802358
01035,"Conecuh, AL",369162
01037,"Coosa, AL",295444
01039,"Covington, AL",1161499
01041,"Crenshaw, AL",457578
01043,"Cullman, AL",2755621
01045,"Dale, AL",1660780
01047,"Dallas, AL",1253058
01049,"DeKalb, AL",1973307
01051,"Elmore, AL",2909288
01053,"Escambia, AL",1102830
01055,"Etowah, AL",3247727
01057,"Fayette, AL",488673
01059,"Franklin, AL",902917
01061,"Geneva, AL",811126
01063,"Greene, AL",263001
01065,"Hale, AL",486533
01067,"Henry, AL",597584
01069,"Houston, AL",3780021
01071,"Jackson, AL",1689202
01073,"Jefferson, AL",29412361
01075,"Lamar, AL",414265
01077,"Lauderdale, AL",2997124
01079,"Lawrence, AL",1045400
01081,"Lee, AL",4857382
01083,"Limestone, AL",3260230
01085,"Lowndes, AL",376920
01087,"Macon, AL",550100
01089,"Madison, AL",15250396
01091,"Marengo, AL",669965
01093,"Marion, AL",836907
01095,"Marshall, AL",2939011
01097,"Mobile, AL",13961020
01099,"Monroe, AL",629957
01101,"Montgomery, AL",8563079
01103,"Morgan, AL",4078113
01105,"Perry, AL",279189
01107,"Pickens, AL",612685
01109,"Pike, AL",1032936
01111,"Randolph, AL",643172
01113,"Russell, AL",1695412
01115,"St. Clair, AL",2789762
01117,"Shelby, AL",9566806
01119,"Sumter, AL",399232
01121,"Talladega, AL",2425869
01123,"Tallapoosa, AL",1410501
01125,"Tuscaloosa, AL",6865659
01127,"Walker, AL",2263247
01129,"Washington, AL",537342
01131,"Wilcox, AL",335358
01133,"Winston, AL",692032
02010,"Aleutian Islands Census Area, AK*",(NA)
02013,"Aleutians East Borough, AK*",129089
02016,"Aleutians West Census Area, AK*",283289
02020,"Anchorage Municipality, AK",17395186
02050,"Bethel Census Area, AK*",657304
02060,"Bristol Bay Borough, AK",103026
02063,"Chugach Census Area, AK*",(NA)
02066,"Copper River Census Area, AK*",(NA)
02068,"Denali Borough, AK*",140342
02070,"Dillingham Census Area, AK*",243616
02090,"Fairbanks North Star Borough, AK",4923446
02100,"Haines Borough, AK*",125740
02105,"Hoonah-Angoon Census Area, AK*",107891
02110,"Juneau City and Borough, AK",1947722
02122,"Kenai Peninsula Borough, AK*",2656187
02130,"Ketchikan Gateway Borough, AK*",805622
02150,"Kodiak Island Borough, AK",750633
02158,"Kusilvak Census Area, AK*",208232
02164,"Lake and Peninsula Borough, AK*",83307
02170,"Matanuska-Susitna Borough, AK",4191329
02180,"Nome Census Area, AK",416386
02185,"North Slope Borough, AK*",828223
02188,"Northwest Arctic Borough, AK",296556
02195,"Petersburg Borough, AK*",201937
02198,"Prince of Wales-Hyder Census Area, AK*",228817
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA)
02220,"Sitka City and Borough, AK*",559931
02230,"Skagway Municipality, AK*",84638
02231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA)
02240,"Southeast Fairbanks Census Area, AK*",300482
02261,"Valdez-Cordova Census Area, AK*",493662
02275,"Wrangell City and Borough, AK*",103043
02280,"Wrangell-Petersburg Census Area, AK*",(NA)
02282,"Yakutat City and Borough, AK*",40870
02290,"Yukon-Koyukuk Census Area, AK*",258571
02901,"Aleutian Islands Division, AK*",(NA)
02903,"Angoon Division, AK*",(NA)
02904,"Barrow-North Slope Division, AK*",(NA)
02905,"Bethel Division, AK*",(NA)
02907,"Bristol Bay Division, AK*",(NA)
02908,"Cordova-McCarthy Division, AK*",(NA)
02910,"Haines Division, AK*",(NA)
02912,"Kenai-Cook Inlet Division, AK*",(NA)
02916,"Kuskokwim Division, AK*",(NA)
02919,"Outer Ketchikan Division, AK*",(NA)
02920,"Prince of Wales Division, AK*",(NA)
02921,"Seward Division, AK*",(NA)
02922,"Sitka Division, AK*",(NA)
02923,"Skagway-Yakutat Division, AK*",(NA)
02924,"Southeast Fairbanks Division, AK*",(NA)
02925,"Upper Yukon Division, AK*",(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",(NA)
02928,"Wrangell-Petersburg Division, AK*",(NA)
02929,"Yukon-Koyukuk Division, AK*",(NA)
04001,"Apache, AZ",1973758
04003,"Cochise, AZ",4440383
04005,"Coconino, AZ",5270807
04007,"Gila, AZ",1706602
04009,"Graham, AZ",1008457
04011,"Greenlee, AZ",311189
04012,"La Paz, AZ*",603202
04013,"Maricopa, AZ",157508064
04015,"Mohave, AZ",5493504
04017,"Navajo, AZ",2802084
04019,"Pima, AZ",36280681
04021,"Pinal, AZ",10336806
04023,"Santa Cruz, AZ",1432383
04025,"Yavapai, AZ",6908898
04027,"Yuma, AZ*",5953494
05001,"Arkansas, AR",766475
05003,"Ashley, AR",678640
05005,"Baxter, AR",1313107
05007,"Benton, AR",15274160
05009,"Boone, AR",1145222
05011,"Bradley, AR",351840
05013,"Calhoun, AR",150154
05015,"Carroll, AR",776153
05017,"Chicot, AR",411083
05019,"Clark, AR",691090
05021,"Clay, AR",507629
05023,"Cleburne, AR",867422
05025,"Cleveland, AR",274637
05027,"Columbia, AR",806783
05029,"Conway, AR",737446
05031,"Craighead, AR",3434122
05033,"Crawford, AR",1799238
05035,"Crittenden, AR",1641157
05037,"Cross, AR",572384
05039,"Dallas, AR",220139
05041,"Desha, AR",463980
05043,"Drew, AR",617740
05045,"Faulkner, AR",3982671
05047,"Franklin, AR",517265
05049,"Fulton, AR",302685
05051,"Garland, AR",3316253
05053,"Grant, AR",588535
05055,"Greene, AR",1371506
05057,"Hempstead, AR",611156
05059,"Hot Spring, AR",894791
05061,"Howard, AR",414379
05063,"Independence, AR",1117028
05065,"Izard, AR",361791
05067,"Jackson, AR",602438
05069,"Jefferson, AR",2299153
05071,"Johnson, AR",678795
05073,"Lafayette, AR",232832
05075,"Lawrence, AR",511699
05077,"Lee, AR",277148
05079,"Lincoln, AR",363559
05081,"Little River, AR",386814
05083,"Logan, AR",654900
05085,"Lonoke, AR",2506708
05087,"Madison, AR",462627
05089,"Marion, AR",438976
05091,"Miller, AR",1273782
05093,"Mississippi, AR",1331030
05095,"Monroe, AR",272084
05097,"Montgomery, AR",240715
05099,"Nevada, AR",247143
05101,"Newton, AR",198781
05103,"Ouachita, AR",800880
05105,"Perry, AR",321231
05107,"Phillips, AR",607123
05109,"Pike, AR",305564
05111,"Poinsett, AR",736325
05113,"Polk, AR",534202
05115,"Pope, AR",1925239
05117,"Prairie, AR",293326
05119,"Pulaski, AR",17182907
05121,"Randolph, AR",503597
05123,"St. Francis, AR",695582
05125,"Saline, AR",4204223
05127,"Scott, AR",281978
05129,"Searcy, AR",203695
05131,"Sebastian, AR",4649512
05133,"Sevier, AR",473489
05135,"Sharp, AR",482828
05137,"Stone, AR",327611
05139,"Union, AR",1736102
05141,"Van Buren, AR",469628
05143,"Washington, AR",7160755
05145,"White, AR",2466276
05147,"Woodruff, AR",265881
05149,"Yell, AR",623483
06001,"Alameda, CA",85777177
06003,"Alpine, CA",63059
06005,"Amador, CA",1336888
06007,"Butte, CA",7807319
06009,"Calaveras, CA",1673573
06011,"Colusa, CA",842509
06013,"Contra Costa, CA",66250960
