state_id,enero_2011,febrero_2011,marzo_2011,abril_2011,mayo_2011,junio_2011,julio_2011,agosto_2011,septiembre_2011,octubre_2011,noviembre_2011,diciembre_2011,enero_2012,febrero_2012,marzo_2012,abril_2012,mayo_2012,junio_2012,julio_2012,agosto_2012,septiembre_2012,octubre_2012,noviembre_2012,diciembre_2012,enero_2013,febrero_2013,marzo_2013,abril_2013,mayo_2013,junio_2013,julio_2013,agosto_2013,septiembre_2013,octubre_2013,noviembre_2013,diciembre_2013,enero_2014,febrero_2014,marzo_2014,abril_2014,mayo_2014,junio_2014,julio_2014,agosto_2014,septiembre_2014,octubre_2014,noviembre_2014,diciembre_2014,enero_2015,febrero_2015,marzo_2015,abril_2015,mayo_2015,junio_2015,julio_2015,agosto_2015,septiembre_2015,octubre_2015,noviembre_2015,diciembre_2015,enero_2016,febrero_2016,marzo_2016,abril_2016,mayo_2016,junio_2016,julio_2016,agosto_2016,septiembre_2016,octubre_2016,noviembre_2016,diciembre_2016
Alabama,66559.03333333334,66559.03333333334,66559.03333333334,66814.56666666667,66814.56666666667,66814.56666666667,67117.93333333333,67117.93333333333,67117.93333333333,68005.59999999999,68005.59999999999,68005.59999999999,68068.09999999999,68068.09999999999,68068.09999999999,68335.2,68335.2,68335.2,67619.3,67619.3,67619.3,67544.76666666666,67544.76666666666,67544.76666666666,69032.2,69032.2,69032.2,68875.59999999999,68875.59999999999,68875.59999999999,69328.46666666666,69328.46666666666,69328.46666666666,68714.26666666666,68714.26666666666,68714.26666666666,67747.23333333334,67747.23333333334,67747.23333333334,68655.7,68655.7,68655.7,69171.63333333333,69171.63333333333,69171.63333333333,69185.43333333333,69185.43333333333,69185.43333333333,68982.5,68982.5,68982.5,69651.96666666666,69651.96666666666,69651.96666666666,70034.0,70034.0,70034.0,69931.93333333333,69931.93333333333,69931.93333333333,70380.8,70380.8,70380.8,70933.56666666667,70933.56666666667,70933.56666666667,71080.2,71080.2,71080.2,71422.5,71422.5,71422.5
Alaska,17444.733333333334,17444.733333333334,17444.733333333334,17779.666666666668,17779.666666666668,17779.666666666668,18049.966666666667,18049.966666666667,18049.966666666667,18786.2,18786.2,18786.2,18760.166666666668,18760.166666666668,18760.166666666668,19289.666666666668,19289.666666666668,19289.666666666668,19220.966666666667,19220.966666666667,19220.966666666667,18845.666666666668,18845.666666666668,18845.666666666668,18667.0,18667.0,18667.0,18029.966666666667,18029.966666666667,18029.966666666667,18169.666666666668,18169.666666666668,18169.666666666668,17970.233333333334,17970.233333333334,17970.233333333334,17717.100000000002,17717.100000000002,17717.100000000002,17717.266666666666,17717.266666666666,17717.266666666666,17758.600000000002,17758.600000000002,17758.600000000002,17878.033333333333,17878.033333333333,17878.033333333333,18021.666666666668,18021.666666666668,18021.666666666668,17846.600000000002,17846.600000000002,17846.600000000002,17836.399999999998,17836.399999999998,17836.399999999998,17870.166666666668,17870.166666666668,17870.166666666668,18018.533333333333,18018.533333333333,18018.533333333333,17810.366666666665,17810.366666666665,17810.366666666665,17724.966666666667,17724.966666666667,17724.966666666667,17731.266666666666,17731.266666666666,17731.266666666666
Arizona,95780.06666666667,95780.06666666667,95780.06666666667,96165.36666666665,96165.36666666665,96165.36666666665,96663.36666666665,96663.36666666665,96663.36666666665,98606.23333333334,98606.23333333334,98606.23333333334,98928.03333333333,98928.03333333333,98928.03333333333,99320.56666666667,99320.56666666667,99320.56666666667,98929.93333333333,98929.93333333333,98929.93333333333,98924.43333333333,98924.43333333333,98924.43333333333,99519.63333333335,99519.63333333335,99519.63333333335,99320.90000000001,99320.90000000001,99320.90000000001,99541.09999999999,99541.09999999999,99541.09999999999,100098.26666666666,100098.26666666666,100098.26666666666,99976.26666666666,99976.26666666666,99976.26666666666,100268.09999999999,100268.09999999999,100268.09999999999,101048.0,101048.0,101048.0,101002.53333333333,101002.53333333333,101002.53333333333,102354.2,102354.2,102354.2,102832.96666666667,102832.96666666667,102832.96666666667,102552.73333333334,102552.73333333334,102552.73333333334,103703.8,103703.8,103703.8,104519.59999999999,104519.59999999999,104519.59999999999,105843.8,105843.8,105843.8,107262.36666666665,107262.36666666665,107262.36666666665,107718.73333333334,107718.73333333334,107718.73333333334
Arkansas,38112.4,38112.4,38112.4,38256.46666666667,38256.46666666667,38256.46666666667,38376.13333333333,38376.13333333333,38376.13333333333,38910.666666666664,38910.666666666664,38910.666666666664,39005.63333333333,39005.63333333333,39005.63333333333,39011.23333333333,39011.23333333333,39011.23333333333,38845.26666666667,38845.26666666667,38845.26666666667,38626.066666666666,38626.066666666666,38626.066666666666,39765.76666666667,39765.76666666667,39765.76666666667,39763.76666666667,39763.76666666667,39763.76666666667,40119.53333333333,40119.53333333333,40119.53333333333,40141.333333333336,40141.333333333336,40141.333333333336,40160.36666666667,40160.36666666667,40160.36666666667,40390.13333333333,40390.13333333333,40390.13333333333,40619.76666666667,40619.76666666667,40619.76666666667,40708.96666666667,40708.96666666667,40708.96666666667,40288.4,40288.4,40288.4,40400.166666666664,40400.166666666664,40400.166666666664,40663.200000000004,40663.200000000004,40663.200000000004,40691.6,40691.6,40691.6,40846.066666666666,40846.066666666666,40846.066666666666,40897.299999999996,40897.299999999996,40897.299999999996,40938.03333333333,40938.03333333333,40938.03333333333,41365.066666666666,41365.066666666666,41365.066666666666
California,728344.5666666668,728344.5666666668,728344.5666666668,731642.4,731642.4,731642.4,729999.7666666666,729999.7666666666,729999.7666666666,733862.8333333334,733862.8333333334,733862.8333333334,743887.8333333334,743887.8333333334,743887.8333333334,747457.1333333333,747457.1333333333,747457.1333333333,752013.0333333333,752013.0333333333,752013.0333333333,763891.7000000001,763891.7000000001,763891.7000000001,762558.7000000001,762558.7000000001,762558.7000000001,771903.7000000001,771903.7000000001,771903.7000000001,782682.1666666666,782682.1666666666,782682.1666666666,803302.5333333333,803302.5333333333,803302.5333333333,794570.6666666666,794570.6666666666,794570.6666666666,804016.2999999999,804016.2999999999,804016.2999999999,818923.7666666666,818923.7666666666,818923.7666666666,820723.5333333333,820723.5333333333,820723.5333333333,839466.5,839466.5,839466.5,850059.9,850059.9,850059.9,852041.9,852041.9,852041.9,853071.0666666668,853071.0666666668,853071.0666666668,866630.7999999999,866630.7999999999,866630.7999999999,866869.7000000001,866869.7000000001,866869.7000000001,879797.7333333334,879797.7333333334,879797.7333333334,884984.0,884984.0,884984.0
Colorado,94165.59999999999,94165.59999999999,94165.59999999999,94496.13333333335,94496.13333333335,94496.13333333335,94621.83333333333,94621.83333333333,94621.83333333333,95334.8,95334.8,95334.8,95779.7,95779.7,95779.7,96500.09999999999,96500.09999999999,96500.09999999999,96333.0,96333.0,96333.0,97173.26666666666,97173.26666666666,97173.26666666666,99410.90000000001,99410.90000000001,99410.90000000001,99684.53333333333,99684.53333333333,99684.53333333333,100927.13333333335,100927.13333333335,100927.13333333335,101956.3,101956.3,101956.3,102506.16666666667,102506.16666666667,102506.16666666667,104135.0,104135.0,104135.0,105902.8,105902.8,105902.8,107988.09999999999,107988.09999999999,107988.09999999999,109047.66666666667,109047.66666666667,109047.66666666667,109833.03333333333,109833.03333333333,109833.03333333333,110521.83333333333,110521.83333333333,110521.83333333333,111299.0,111299.0,111299.0,110824.36666666665,110824.36666666665,110824.36666666665,111357.23333333334,111357.23333333334,111357.23333333334,113274.13333333335,113274.13333333335,113274.13333333335,114791.16666666667,114791.16666666667,114791.16666666667
Connecticut,86617.8,86617.8,86617.8,87485.43333333333,87485.43333333333,87485.43333333333,87025.63333333333,87025.63333333333,87025.63333333333,87612.16666666667,87612.16666666667,87612.16666666667,87920.0,87920.0,87920.0,88055.90000000001,88055.90000000001,88055.90000000001,87722.46666666667,87722.46666666667,87722.46666666667,87834.86666666665,87834.86666666665,87834.86666666665,86619.36666666667,86619.36666666667,86619.36666666667,85899.76666666666,85899.76666666666,85899.76666666666,86408.06666666667,86408.06666666667,86408.06666666667,86287.46666666666,86287.46666666666,86287.46666666666,85150.96666666666,85150.96666666666,85150.96666666666,86304.2,86304.2,86304.2,87373.93333333333,87373.93333333333,87373.93333333333,88645.23333333334,88645.23333333334,88645.23333333334,89428.06666666667,89428.06666666667,89428.06666666667,89989.0,89989.0,89989.0,89527.06666666667,89527.06666666667,89527.06666666667,89548.86666666665,89548.86666666665,89548.86666666665,89345.86666666665,89345.86666666665,89345.86666666665,89158.3,89158.3,89158.3,89176.93333333333,89176.93333333333,89176.93333333333,89913.83333333333,89913.83333333333,89913.83333333333
Delaware,23289.399999999998,23289.399999999998,23289.399999999998,23674.933333333334,23674.933333333334,23674.933333333334,23930.066666666666,23930.066666666666,23930.066666666666,23910.233333333334,23910.233333333334,23910.233333333334,23976.533333333336,23976.533333333336,23976.533333333336,23780.3,23780.3,23780.3,23427.933333333334,23427.933333333334,23427.933333333334,22898.399999999998,22898.399999999998,22898.399999999998,22551.233333333334,22551.233333333334,22551.233333333334,22628.13333333333,22628.13333333333,22628.13333333333,22748.36666666667,22748.36666666667,22748.36666666667,23614.666666666668,23614.666666666668,23614.666666666668,23751.566666666666,23751.566666666666,23751.566666666666,24580.466666666664,24580.466666666664,24580.466666666664,25099.13333333333,25099.13333333333,25099.13333333333,25184.533333333336,25184.533333333336,25184.533333333336,25591.233333333334,25591.233333333334,25591.233333333334,25977.566666666666,25977.566666666666,25977.566666666666,25133.266666666666,25133.266666666666,25133.266666666666,24912.833333333332,24912.833333333332,24912.833333333332,24168.600000000002,24168.600000000002,24168.600000000002,24119.566666666666,24119.566666666666,24119.566666666666,23844.033333333336,23844.033333333336,23844.033333333336,23789.7,23789.7,23789.7
District of Columbia,40708.933333333334,40708.933333333334,40708.933333333334,40959.0,40959.0,40959.0,41028.799999999996,41028.799999999996,41028.799999999996,40818.433333333334,40818.433333333334,40818.433333333334,41042.200000000004,41042.200000000004,41042.200000000004,41329.73333333333,41329.73333333333,41329.73333333333,41301.433333333334,41301.433333333334,41301.433333333334,41083.76666666667,41083.76666666667,41083.76666666667,41472.9,41472.9,41472.9,41183.200000000004,41183.200000000004,41183.200000000004,41310.5,41310.5,41310.5,41493.13333333333,41493.13333333333,41493.13333333333,41966.0,41966.0,41966.0,42085.76666666667,42085.76666666667,42085.76666666667,42475.76666666667,42475.76666666667,42475.76666666667,42651.03333333333,42651.03333333333,42651.03333333333,42906.73333333333,42906.73333333333,42906.73333333333,43173.566666666666,43173.566666666666,43173.566666666666,42975.96666666667,42975.96666666667,42975.96666666667,43090.666666666664,43090.666666666664,43090.666666666664,43872.63333333333,43872.63333333333,43872.63333333333,44104.03333333333,44104.03333333333,44104.03333333333,44009.73333333334,44009.73333333334,44009.73333333334,44303.96666666667,44303.96666666667,44303.96666666667
Far West,1016860.7000000001,1016860.7000000001,1016860.7000000001,1022207.6333333333,1022207.6333333333,1022207.6333333333,1020032.3333333334,1020032.3333333334,1020032.3333333334,1028934.0,1028934.0,1028934.0,1040755.3666666667,1040755.3666666667,1040755.3666666667,1045885.2666666666,1045885.2666666666,1045885.2666666666,1051386.4333333333,1051386.4333333333,1051386.4333333333,1059879.9000000001,1059879.9000000001,1059879.9000000001,1063798.9333333333,1063798.9333333333,1063798.9333333333,1072701.9333333333,1072701.9333333333,1072701.9333333333,1086995.8333333333,1086995.8333333333,1086995.8333333333,1108846.7333333334,1108846.7333333334,1108846.7333333334,1100110.5333333334,1100110.5333333334,1100110.5333333334,1112410.5999999999,1112410.5999999999,1112410.5999999999,1132431.2333333334,1132431.2333333334,1132431.2333333334,1135756.2333333334,1135756.2333333334,1135756.2333333334,1158977.9000000001,1158977.9000000001,1158977.9000000001,1172598.6333333333,1172598.6333333333,1172598.6333333333,1177995.9333333333,1177995.9333333333,1177995.9333333333,1179452.0666666667,1179452.0666666667,1179452.0666666667,1198537.4666666666,1198537.4666666666,1198537.4666666666,1199008.7333333334,1199008.7333333334,1199008.7333333334,1215683.2333333334,1215683.2333333334,1215683.2333333334,1225837.5666666667,1225837.5666666667,1225837.5666666667
