Estado,Ingresos_personales_2018
"Autauga, AL",2371211
"Baldwin, AL",10139295
"Barbour, AL",842907
"Bibb, AL",672223
"Blount, AL",2072951
"Bullock, AL",272084
"Butler, AL",704744
"Calhoun, AL",4154359
"Chambers, AL",1139957
"Cherokee, AL",925082
"Chilton, AL",1536627
"Choctaw, AL",488690
"Clarke, AL",847451
"Clay, AL",440623
"Cleburne, AL",535688
"Coffee, AL",2179891
"Colbert, AL",2054230
"Conecuh, AL",397026
"Coosa, AL",331672
"Covington, AL",1309008
"Crenshaw, AL",500398
"Cullman, AL",3276350
"Dale, AL",1785937
"Dallas, AL",1333745
"DeKalb, AL",2294412
"Elmore, AL",3466846
"Escambia, AL",1181944
"Etowah, AL",3745235
"Fayette, AL",562170
"Franklin, AL",1063978
"Geneva, AL",907023
"Greene, AL",251241
"Hale, AL",524442
"Henry, AL",716407
"Houston, AL",4437058
"Jackson, AL",1884993
"Jefferson, AL",35801584
"Lamar, AL",457700
"Lauderdale, AL",3380826
"Lawrence, AL",1114310
"Lee, AL",6230684
"Limestone, AL",4156699
"Lowndes, AL",393111
"Macon, AL",591711
"Madison, AL",18866501
"Marengo, AL",744010
"Marion, AL",960712
"Marshall, AL",3449773
"Mobile, AL",15723309
"Monroe, AL",688619
"Montgomery, AL",9748649
"Morgan, AL",4727652
"Perry, AL",276975
"Pickens, AL",657473
"Pike, AL",1226773
"Randolph, AL",747901
"Russell, AL",1860026
"St. Clair, AL",3513059
"Shelby, AL",11877859
"Sumter, AL",384072
"Talladega, AL",2741781
"Tallapoosa, AL",1633447
"Tuscaloosa, AL",8092333
"Walker, AL",2545706
"Washington, AL",589425
"Wilcox, AL",341705
"Winston, AL",801907
"Aleutian Islands Census Area, AK*",(NA)
"Aleutians East Borough, AK*",192045
"Aleutians West Census Area, AK*",305957
"Anchorage Municipality, AK",19242734
"Bethel Census Area, AK*",815785
"Bristol Bay Borough, AK",121728
"Chugach Census Area, AK*",(NA)
"Copper River Census Area, AK*",(NA)
"Denali Borough, AK*",171669
"Dillingham Census Area, AK*",292027
"Fairbanks North Star Borough, AK",5544411
"Haines Borough, AK*",171329
"Hoonah-Angoon Census Area, AK*",131543
"Juneau City and Borough, AK",2209874
"Kenai Peninsula Borough, AK*",3007832
"Ketchikan Gateway Borough, AK*",924574
"Kodiak Island Borough, AK",799012
"Kusilvak Census Area, AK*",252848
"Lake and Peninsula Borough, AK*",97694
"Matanuska-Susitna Borough, AK",4998190
"Nome Census Area, AK",514162
"North Slope Borough, AK*",819548
"Northwest Arctic Borough, AK",369048
"Petersburg Borough, AK*",221647
"Prince of Wales-Hyder Census Area, AK*",282127
"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA)
"Sitka City and Borough, AK*",580409
"Skagway Municipality, AK*",92250
"Skagway-Yakutat-Angoon Census Area, AK*",(NA)
"Skagway-Hoonah-Angoon Census Area, AK*",(NA)
"Southeast Fairbanks Census Area, AK*",348140
"Valdez-Cordova Census Area, AK*",558724
"Wrangell City and Borough, AK*",120146
"Wrangell-Petersburg Census Area, AK*",(NA)
"Yakutat City and Borough, AK*",34472
"Yukon-Koyukuk Census Area, AK*",302824
"Aleutian Islands Division, AK*",(NA)
"Angoon Division, AK*",(NA)
"Barrow-North Slope Division, AK*",(NA)
"Bethel Division, AK*",(NA)
