cp,estado,Q1,Q2,january,february,march,april,may
00000,UnitedStates,52443000000,52986000000,17481000000.0,17481000000.0,17481000000.0,17662000000.0,17662000000.0
01000,Alabama,40825000000,41094000000,13608333333.333334,13608333333.333334,13608333333.333334,13698000000.0,13698000000.0
02000,Alaska,58076000000,58490000000,19358666666.666668,19358666666.666668,19358666666.666668,19496666666.666668,19496666666.666668
04000,Arizona,44628000000,44961000000,14876000000.0,14876000000.0,14876000000.0,14987000000.0,14987000000.0
05000,Arkansas,42434000000,42762000000,14144666666.666666,14144666666.666666,14144666666.666666,14254000000.0,14254000000.0
06000,California,59735000000,60612000000,19911666666.666668,19911666666.666668,19911666666.666668,20204000000.0,20204000000.0
08000,Colorado,56452000000,57262000000,18817333333.333332,18817333333.333332,18817333333.333332,19087333333.333332,19087333333.333332
09000,Connecticut,71081000000,71679000000,23693666666.666668,23693666666.666668,23693666666.666668,23893000000.0,23893000000.0
10000,Delaware,51725000000,52313000000,17241666666.666668,17241666666.666668,17241666666.666668,17437666666.666668,17437666666.666668
11000,DistrictofColumbia,80946000000,81715000000,26982000000.0,26982000000.0,26982000000.0,27238333333.333332,27238333333.333332
12000,Florida,50086000000,50560000000,16695333333.333334,16695333333.333334,16695333333.333334,16853333333.333334,16853333333.333334
13000,Georgia,45853000000,46325000000,15284333333.333334,15284333333.333334,15284333333.333334,15441666666.666666,15441666666.666666
15000,Hawaii,51061000000,51439000000,17020333333.333334,17020333333.333334,17020333333.333334,17146333333.333334,17146333333.333334
16000,Idaho,42652000000,43005000000,14217333333.333334,14217333333.333334,14217333333.333334,14335000000.0,14335000000.0
17000,Illinois,55132000000,55880000000,18377333333.333332,18377333333.333332,18377333333.333332,18626666666.666668,18626666666.666668
18000,Indiana,46049000000,46288000000,15349666666.666666,15349666666.666666,15349666666.666666,15429333333.333334,15429333333.333334
19000,Iowa,47973000000,48452000000,15991000000.0,15991000000.0,15991000000.0,16150666666.666666,16150666666.666666
20000,Kansas,49399000000,50005000000,16466333333.333334,16466333333.333334,16466333333.333334,16668333333.333334,16668333333.333334
21000,Kentucky,41189000000,41590000000,13729666666.666666,13729666666.666666,13729666666.666666,13863333333.333334,13863333333.333334
22000,Louisiana,44716000000,45343000000,14905333333.333334,14905333333.333334,14905333333.333334,15114333333.333334,15114333333.333334
23000,Maine,47115000000,47551000000,15705000000.0,15705000000.0,15705000000.0,15850333333.333334,15850333333.333334
24000,Maryland,59189000000,59690000000,19729666666.666668,19729666666.666668,19729666666.666668,19896666666.666668,19896666666.666668
25000,Massachusetts,68245000000,68799000000,22748333333.333332,22748333333.333332,22748333333.333332,22933000000.0,22933000000.0
26000,Michigan,46671000000,46917000000,15557000000.0,15557000000.0,15557000000.0,15639000000.0,15639000000.0
27000,Minnesota,55151000000,55881000000,18383666666.666668,18383666666.666668,18383666666.666668,18627000000.0,18627000000.0
28000,Mississippi,37071000000,37479000000,12357000000.0,12357000000.0,12357000000.0,12493000000.0,12493000000.0
29000,Missouri,45796000000,46639000000,15265333333.333334,15265333333.333334,15265333333.333334,15546333333.333334,15546333333.333334
30000,Montana,46504000000,46993000000,15501333333.333334,15501333333.333334,15501333333.333334,15664333333.333334,15664333333.333334
31000,Nebraska,50476000000,50864000000,16825333333.333334,16825333333.333334,16825333333.333334,16954666666.666666,16954666666.666666
32000,Nevada,48716000000,48879000000,16238666666.666666,16238666666.666666,16238666666.666666,16293000000.0,16293000000.0
33000,NewHampshire,59798000000,60014000000,19932666666.666668,19932666666.666668,19932666666.666668,20004666666.666668,20004666666.666668
34000,NewJersey,63255000000,63788000000,21085000000.0,21085000000.0,21085000000.0,21262666666.666668,21262666666.666668
35000,NewMexico,40314000000,40730000000,13438000000.0,13438000000.0,13438000000.0,13576666666.666666,13576666666.666666
36000,NewYork,63330000000,63986000000,21110000000.0,21110000000.0,21110000000.0,21328666666.666668,21328666666.666668
37000,NorthCarolina,45226000000,45771000000,15075333333.333334,15075333333.333334,15075333333.333334,15257000000.0,15257000000.0
38000,NorthDakota,53653000000,54635000000,17884333333.333332,17884333333.333332,17884333333.333332,18211666666.666668,18211666666.666668
39000,Ohio,47112000000,47529000000,15704000000.0,15704000000.0,15704000000.0,15843000000.0,15843000000.0
40000,Oklahoma,45333000000,45715000000,15111000000.0,15111000000.0,15111000000.0,15238333333.333334,15238333333.333334
41000,Oregon,49343000000,49893000000,16447666666.666666,16447666666.666666,16447666666.666666,16631000000.0,16631000000.0
42000,Pennsylvania,53550000000,54083000000,17850000000.0,17850000000.0,17850000000.0,18027666666.666668,18027666666.666668
44000,RhodeIsland,51741000000,51870000000,17247000000.0,17247000000.0,17247000000.0,17290000000.0,17290000000.0
45000,SouthCarolina,43136000000,43525000000,14378666666.666666,14378666666.666666,14378666666.666666,14508333333.333334,14508333333.333334
46000,SouthDakota,50773000000,50865000000,16924333333.333334,16924333333.333334,16924333333.333334,16955000000.0,16955000000.0
47000,Tennessee,45732000000,46072000000,15244000000.0,15244000000.0,15244000000.0,15357333333.333334,15357333333.333334
48000,Texas,50365000000,50969000000,16788333333.333334,16788333333.333334,16788333333.333334,16989666666.666666,16989666666.666666
49000,Utah,44732000000,45202000000,14910666666.666666,14910666666.666666,14910666666.666666,15067333333.333334,15067333333.333334
50000,Vermont,50941000000,51479000000,16980333333.333334,16980333333.333334,16980333333.333334,17159666666.666666,17159666666.666666
51000,Virginia,55380000000,55789000000,18460000000.0,18460000000.0,18460000000.0,18596333333.333332,18596333333.333332
53000,Washington,58871000000,59261000000,19623666666.666668,19623666666.666668,19623666666.666668,19753666666.666668,19753666666.666668
54000,WestVirginia,40006000000,40625000000,13335333333.333334,13335333333.333334,13335333333.333334,13541666666.666666,13541666666.666666
55000,Wisconsin,49984000000,50140000000,16661333333.333334,16661333333.333334,16661333333.333334,16713333333.333334,16713333333.333334
56000,Wyoming,57821000000,58729000000,19273666666.666668,19273666666.666668,19273666666.666668,19576333333.333332,19576333333.333332
91000,NewEngland,64331999999,64822000000,21443999999.666668,21443999999.666668,21443999999.666668,21607333333.333332,21607333333.333332
92000,Mideast,60298000000,60881000000,20099333333.333332,20099333333.333332,20099333333.333332,20293666666.666668,20293666666.666668
93000,GreatLakes,49411000000,49822000000,16470333333.333334,16470333333.333334,16470333333.333334,16607333333.333334,16607333333.333334
94000,Plains,49977000000,50639000000,16659000000.0,16659000000.0,16659000000.0,16879666666.666666,16879666666.666666
95000,Southeast,46464000000,46914000000,15488000000.0,15488000000.0,15488000000.0,15638000000.0,15638000000.0
96000,Southwest,48415000000,48944000000,16138333333.333334,16138333333.333334,16138333333.333334,16314666666.666666,16314666666.666666
97000,RockyMountain,50628000000,51257000000,16876000000.0,16876000000.0,16876000000.0,17085666666.666666,17085666666.666666
98000,FarWest,58020000000,58748000000,19340000000.0,19340000000.0,19340000000.0,19582666666.666668,19582666666.666668
