SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2018:Q1,2018:Q2,2018:Q3,2018:Q4
00000,United States,20044077.0,20150476.0,20276154.0,20304874.0
01000,Alabama,220062.1,220171.5,220569.5,222432.0
02000,Alaska,52891.0,52440.5,52378.3,52208.4
04000,Arizona,343718.4,344708.1,347777.9,349388.8
05000,Arkansas,126156.7,126071.2,126651.1,126606.0
06000,California,2809417.8,2838193.8,2869602.8,2886666.7
08000,Colorado,365104.7,363911.4,364233.5,367568.5
09000,Connecticut,275587.5,272817.7,276166.4,273759.6
10000,Delaware,69615.4,70079.2,71607.7,72123.5
11000,District of Columbia,136413.6,137731.6,139354.8,138727.2
12000,Florida,1043422.3,1043767.4,1056123.0,1058422.5
13000,Georgia,592862.9,597845.3,605171.3,607859.2
15000,Hawaii,88319.5,89232.3,88903.6,88890.3
16000,Idaho,76802.5,77360.4,77916.6,78529.0
17000,Illinois,846640.6,848069.3,853891.4,857467.4
18000,Indiana,367616.7,367646.0,369403.4,370385.6
19000,Iowa,190703.6,190538.9,189171.3,186566.6
20000,Kansas,167881.6,169081.3,170973.7,171250.9
21000,Kentucky,204572.2,206102.4,205975.3,207110.5
22000,Louisiana,244518.7,245080.4,245263.3,246018.7
23000,Maine,64389.5,64747.8,65140.3,64947.6
24000,Maryland,401387.7,402903.9,402950.9,402681.0
25000,Massachusetts,544255.9,548661.1,551199.4,552931.8
26000,Michigan,516834.2,517627.3,517394.4,515516.0
27000,Minnesota,361044.1,363643.2,366978.9,367532.6
28000,Mississippi,110109.5,110597.5,110112.7,109879.4
29000,Missouri,311738.5,314187.3,314970.5,315833.3
30000,Montana,49453.7,49473.8,49333.5,49558.8
31000,Nebraska,126088.4,124965.7,125057.4,126062.3
32000,Nevada,167517.3,167927.6,168470.2,170639.0
33000,New Hampshire,82406.5,82141.5,82367.1,82162.9
34000,New Jersey,602636.5,604530.5,608602.2,611799.6
35000,New Mexico,94891.4,96006.7,96381.6,97028.4
36000,New York,1657126.1,1667068.7,1674704.9,1661847.4
37000,North Carolina,553013.9,557124.0,556826.7,559330.2
38000,North Dakota,57826.1,58556.6,59025.6,58657.0
39000,Ohio,652538.5,653091.1,657615.2,661603.2
40000,Oklahoma,194199.1,195426.3,196292.5,198204.1
41000,Oregon,232755.6,233321.4,235022.5,236133.9
42000,Pennsylvania,761154.9,762273.0,766164.3,765829.2
44000,Rhode Island,58665.1,58674.1,58524.2,59097.2
45000,South Carolina,229019.7,231083.1,232247.2,234303.1
46000,South Dakota,52443.0,51531.0,51736.3,52041.0
47000,Tennessee,361169.7,361390.4,363972.6,362922.2
48000,Texas,1719792.7,1742497.8,1755960.0,1767922.5
49000,Utah,178821.6,181231.0,183349.9,185021.5
50000,Vermont,32845.6,32915.3,32781.0,32769.2
51000,Virginia,523863.5,526704.6,530187.4,530314.6
53000,Washington,552816.4,557718.6,567438.7,569169.2
54000,West Virginia,76218.4,77353.2,78193.5,77861.0
55000,Wisconsin,328430.7,327148.2,329209.2,330541.4
56000,Wyoming,37686.3,37965.9,38057.3,38199.3
91000,New England,1058146.8,1059945.5,1066168.4,1065651.3
92000,Mideast,3628344.3,3644608.3,3663420.8,3652995.3
93000,Great Lakes,2712033.1,2713550.5,2727499.6,2735525.6
94000,Plains,1267728.6,1272504.8,1277920.7,1277949.2
95000,Southeast,4284981.8,4303286.3,4331244.2,4343021.2
96000,Southwest,2352559.8,2378633.0,2396407.7,2412567.9
97000,Rocky Mountain,707847.0,709921.9,712867.5,718852.1
98000,Far West,3903687.9,3938776.3,3981719.1,4003609.0

Legend/Footnotes
"1. Real GDP is in millions of chained 2017 dollars. Calculations are performed on unrounded data. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. For the All industry total and Government and government enterprises, the difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"  Last updated: March 28, 2025-- new statistics for 2024:Q4."
